0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),1,AGRICULTURAL TRACTOR,6,6,6,8,,,,,,,,,26
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),2,BUS,0,1,2,2,,,,,,,,,5
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),3,E-RICKSHAW(P),175,168,189,100,,,,,,,,,632
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),4,E-RICKSHAW WITH CART (G),0,0,2,1,,,,,,,,,3
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),5,GOODS CARRIER,21,13,17,9,,,,,,,,,60
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),6,MAXI CAB,2,3,2,3,,,,,,,,,10
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),7,M-CYCLE/SCOOTER,"2,474","2,786","3,231","1,526",,,,,,,,,"10,017"
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),8,M-CYCLE/SCOOTER-WITH SIDE CAR,3,1,1,1,,,,,,,,,6
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),9,MOPED,1,0,0,0,,,,,,,,,1
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),10,MOTOR CAB,0,2,4,1,,,,,,,,,7
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),11,MOTOR CAR,100,75,96,53,,,,,,,,,324
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),12,OMNI BUS (PRIVATE USE),1,0,0,0,,,,,,,,,1
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),13,THREE WHEELER (GOODS),3,3,10,5,,,,,,,,,21
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),14,THREE WHEELER (PASSENGER),35,24,42,19,,,,,,,,,120
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),15,TRACTOR (COMMERCIAL),65,33,54,16,,,,,,,,,168
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),1,AGRICULTURAL TRACTOR,17,11,8,3,,,,,,,,,39
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),2,CONSTRUCTION EQUIPMENT VEHICLE,1,1,3,0,,,,,,,,,5
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),3,E-RICKSHAW(P),4,4,3,3,,,,,,,,,14
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),4,GOODS CARRIER,4,2,3,0,,,,,,,,,9
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),5,M-CYCLE/SCOOTER,213,289,422,251,,,,,,,,,"1,175"
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),6,M-CYCLE/SCOOTER-WITH SIDE CAR,0,0,0,2,,,,,,,,,2
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),7,MOPED,60,57,44,27,,,,,,,,,188
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),8,MOTOR CAR,9,7,3,3,,,,,,,,,22
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),9,OMNI BUS,0,1,0,0,,,,,,,,,1
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),10,THREE WHEELER (GOODS),3,6,2,1,,,,,,,,,12
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),11,THREE WHEELER (PASSENGER),4,6,6,1,,,,,,,,,17
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),12,TRACTOR (COMMERCIAL),5,12,8,6,,,,,,,,,31
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),13,TRAILER (AGRICULTURAL),1,0,0,0,,,,,,,,,1
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),14,TRAILER (COMMERCIAL),18,6,7,9,,,,,,,,,40
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),1,AGRICULTURAL TRACTOR,78,45,56,23,,,,,,,,,202
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),2,ARTICULATED VEHICLE,1,0,0,0,,,,,,,,,1
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),3,BUS,0,7,5,2,,,,,,,,,14
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),4,CONSTRUCTION EQUIPMENT VEHICLE,0,2,3,0,,,,,,,,,5
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),5,E-RICKSHAW(P),99,89,114,65,,,,,,,,,367
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),6,E-RICKSHAW WITH CART (G),0,0,5,1,,,,,,,,,6
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),7,GOODS CARRIER,70,57,60,26,,,,,,,,,213
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),8,HARVESTER,0,1,0,2,,,,,,,,,3
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),9,MAXI CAB,2,0,4,1,,,,,,,,,7
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),10,M-CYCLE/SCOOTER,"1,126","1,400","2,091","1,842",,,,,,,,,"6,459"
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),11,M-CYCLE/SCOOTER-WITH SIDE CAR,0,1,0,2,,,,,,,,,3
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),12,MOPED,87,63,85,43,,,,,,,,,278
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),13,MOTOR CAB,3,6,3,2,,,,,,,,,14
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),14,MOTOR CAR,73,102,105,61,,,,,,,,,341
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),15,THREE WHEELER (GOODS),3,9,12,3,,,,,,,,,27
