0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),1,CNG ONLY,1,0,0,0,,,,,,,,,1
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),2,DIESEL,117,72,103,26,,,,,,,,,318
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),3,ELECTRIC(BOV),201,191,233,71,,,,,,,,,696
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),4,LPG ONLY,14,15,25,8,,,,,,,,,62
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),5,PETROL,"2,468","2,762","3,207",886,,,,,,,,,"9,323"
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),6,PETROL/CNG,0,1,0,0,,,,,,,,,1
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),7,PETROL/ETHANOL,68,65,78,23,,,,,,,,,234
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),8,PETROL/HYBRID,17,9,9,2,,,,,,,,,37
2024,Bihar,ARARIA - BR38( 30-JAN-2018 ),9,STRONG HYBRID EV,0,0,1,0,,,,,,,,,1
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),1,CNG ONLY,4,6,5,0,,,,,,,,,15
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),2,DIESEL,31,34,23,7,,,,,,,,,95
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),3,ELECTRIC(BOV),7,12,10,3,,,,,,,,,32
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),4,NOT APPLICABLE,19,6,7,0,,,,,,,,,32
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),5,PETROL,266,334,447,172,,,,,,,,,"1,219"
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),6,PETROL/CNG,0,1,1,0,,,,,,,,,2
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),7,PETROL/ETHANOL,12,8,16,8,,,,,,,,,44
2024,Bihar,ARAWAL - BR56( 22-MAY-2017 ),8,PETROL/HYBRID,0,1,0,0,,,,,,,,,1
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),1,CNG ONLY,37,41,30,12,,,,,,,,,120
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),2,DIESEL,194,190,200,65,,,,,,,,,649
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),3,ELECTRIC(BOV),132,125,188,63,,,,,,,,,508
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),4,NOT APPLICABLE,8,21,6,1,,,,,,,,,36
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),5,PETROL,"1,220","1,476","2,176","1,194",,,,,,,,,"6,066"
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),6,PETROL/CNG,20,4,6,8,,,,,,,,,38
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),7,PETROL/ETHANOL,3,11,5,7,,,,,,,,,26
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),8,PETROL/HYBRID,4,8,6,4,,,,,,,,,22
2024,Bihar,AURANGABAD - BR26( 13-JUN-2017 ),9,STRONG HYBRID EV,0,0,1,0,,,,,,,,,1
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),1,CNG ONLY,0,0,1,0,,,,,,,,,1
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),2,DIESEL,55,43,70,26,,,,,,,,,194
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),3,ELECTRIC(BOV),107,105,109,25,,,,,,,,,346
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),4,LPG ONLY,1,0,1,0,,,,,,,,,2
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),5,NOT APPLICABLE,10,13,10,22,,,,,,,,,55
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),6,PETROL,761,775,901,471,,,,,,,,,"2,908"
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),7,PETROL/ETHANOL,19,13,25,13,,,,,,,,,70
2024,Bihar,BANKA - BR51( 06-FEB-2018 ),8,PETROL/HYBRID,0,0,0,1,,,,,,,,,1
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),1,CNG ONLY,43,50,44,6,,,,,,,,,143
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),2,DIESEL,150,151,187,80,,,,,,,,,568
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),3,ELECTRIC(BOV),235,227,237,97,,,,,,,,,796
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),4,LPG ONLY,1,1,2,1,,,,,,,,,5
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),5,NOT APPLICABLE,80,21,47,2,,,,,,,,,150
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),6,PETROL,"1,508","1,981","2,439","1,259",,,,,,,,,"7,187"
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),7,PETROL/CNG,24,22,18,8,,,,,,,,,72
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),8,PETROL/ETHANOL,42,22,73,19,,,,,,,,,156
2024,Bihar,BEGUSARAI - BR9( 23-JAN-2018 ),9,PETROL/HYBRID,9,16,13,9,,,,,,,,,47
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),1,CNG ONLY,0,0,1,0,,,,,,,,,1
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),2,DIESEL,221,166,195,52,,,,,,,,,634
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),3,ELECTRIC(BOV),276,188,202,76,,,,,,,,,742
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),4,LPG ONLY,12,9,8,5,,,,,,,,,34
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),5,NOT APPLICABLE,4,7,1,1,,,,,,,,,13
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),6,PETROL,"3,496","3,709","4,526","2,185",,,,,,,,,"13,916"
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),7,PETROL/CNG,4,4,4,1,,,,,,,,,13
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),8,PETROL/ETHANOL,3,4,3,51,,,,,,,,,61
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),9,PETROL/HYBRID,5,7,16,3,,,,,,,,,31
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),10,PURE EV,0,0,4,0,,,,,,,,,4
2024,Bihar,BETTIAH - BR22( 22-SEP-2017 ),11,STRONG HYBRID EV,0,0,0,1,,,,,,,,,1
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),1,CNG ONLY,55,28,30,19,,,,,,,,,132
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),2,DIESEL,150,147,92,42,,,,,,,,,431
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),3,ELECTRIC(BOV),70,68,106,40,,,,,,,,,284
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),4,PETROL,795,794,"1,021",340,,,,,,,,,"2,950"
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),5,PETROL/CNG,3,4,3,1,,,,,,,,,11
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),6,PETROL/ETHANOL,0,1,1,0,,,,,,,,,2
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),7,PETROL/HYBRID,1,0,2,1,,,,,,,,,4
2024,Bihar,BHABHUA - BR45( 23-JAN-2018 ),8,PURE EV,0,0,0,1,,,,,,,,,1
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),1,CNG ONLY,39,44,51,22,,,,,,,,,156
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),2,DIESEL,167,229,165,74,,,,,,,,,635
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),3,ELECTRIC(BOV),368,338,346,176,,,,,,,,,"1,228"
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),4,LPG ONLY,21,19,31,7,,,,,,,,,78
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),5,NOT APPLICABLE,11,4,9,0,,,,,,,,,24
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),6,PETROL,"1,869","1,773","2,180",845,,,,,,,,,"6,667"
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),7,PETROL/CNG,6,12,6,3,,,,,,,,,27
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),8,PETROL/ETHANOL,89,98,99,47,,,,,,,,,333
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),9,PETROL/HYBRID,15,23,26,7,,,,,,,,,71
2024,Bihar,BHAGALPUR - BR10( 07-FEB-2018 ),10,STRONG HYBRID EV,0,0,0,3,,,,,,,,,3
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),1,CNG ONLY,67,52,43,11,,,,,,,,,173
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),2,DIESEL,228,219,243,114,,,,,,,,,804
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),3,ELECTRIC(BOV),89,98,118,44,,,,,,,,,349
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),4,NOT APPLICABLE,3,2,8,1,,,,,,,,,14
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),5,PETROL,"1,557","1,997","2,051",967,,,,,,,,,"6,572"
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),6,PETROL/CNG,10,7,11,4,,,,,,,,,32
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),7,PETROL/ETHANOL,14,30,31,15,,,,,,,,,90
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),8,PETROL/HYBRID,2,6,7,1,,,,,,,,,16
2024,Bihar,BHOJPUR - BR3( 15-FEB-2018 ),9,STRONG HYBRID EV,0,0,0,1,,,,,,,,,1
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),1,CNG ONLY,11,4,0,13,,,,,,,,,28
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),2,DIESEL,159,142,110,39,,,,,,,,,450
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),3,ELECTRIC(BOV),130,87,199,48,,,,,,,,,464
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),4,NOT APPLICABLE,1,3,3,0,,,,,,,,,7
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),5,PETROL,999,"1,052","1,275",681,,,,,,,,,"4,007"
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),6,PETROL/CNG,7,5,2,0,,,,,,,,,14
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),7,PETROL/ETHANOL,10,5,12,4,,,,,,,,,31
2024,Bihar,BUXUR - BR44( 01-FEB-2018 ),8,PETROL/HYBRID,2,4,2,0,,,,,,,,,8
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),1,CNG ONLY,75,50,55,22,,,,,,,,,202
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),2,DIESEL,125,94,130,45,,,,,,,,,394
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),3,ELECTRIC(BOV),277,266,254,110,,,,,,,,,907
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),4,LPG ONLY,1,0,0,0,,,,,,,,,1
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),5,NOT APPLICABLE,9,4,1,1,,,,,,,,,15
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),6,PETROL,"1,947","2,594","2,502","1,787",,,,,,,,,"8,830"
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),7,PETROL/CNG,13,5,14,7,,,,,,,,,39
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),8,PETROL/ETHANOL,19,22,33,6,,,,,,,,,80
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),9,PETROL/HYBRID,7,10,6,2,,,,,,,,,25
2024,Bihar,CHAPARA - BR4( 29-JAN-2018 ),10,PURE EV,0,0,1,0,,,,,,,,,1
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),1,CNG ONLY,208,124,156,57,,,,,,,,,545
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),2,DIESEL,241,223,250,89,,,,,,,,,803
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),3,ELECTRIC(BOV),182,155,184,57,,,,,,,,,578
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),4,LPG ONLY,17,10,7,7,,,,,,,,,41
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),5,NOT APPLICABLE,11,7,10,11,,,,,,,,,39
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),6,PETROL,"2,097","2,779","4,476","1,587",,,,,,,,,"10,939"
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),7,PETROL/CNG,12,6,12,7,,,,,,,,,37
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),8,PETROL/ETHANOL,97,96,157,47,,,,,,,,,397
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),9,PETROL/HYBRID,19,18,22,9,,,,,,,,,68
2024,Bihar,DARBHANGA - BR7( 30-JAN-2018 ),10,PURE EV,0,0,0,1,,,,,,,,,1
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),1,CNG ONLY,47,72,74,25,,,,,,,,,218
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),2,DIESEL,266,308,298,108,,,,,,,,,980
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),3,DIESEL/HYBRID,0,1,0,0,,,,,,,,,1
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),4,ELECTRIC(BOV),497,484,530,177,,,,,,,,,"1,688"
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),5,NOT APPLICABLE,62,26,38,9,,,,,,,,,135
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),6,PETROL,"2,897","3,241","4,363","2,924",,,,,,,,,"13,425"
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),7,PETROL/CNG,37,38,44,9,,,,,,,,,128
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),8,PETROL/ETHANOL,51,86,64,40,,,,,,,,,241
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),9,PETROL/HYBRID,21,36,25,8,,,,,,,,,90
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),10,PURE EV,0,0,4,1,,,,,,,,,5
2024,Bihar,GAYA - BR2( 06-SEP-2017 ),11,STRONG HYBRID EV,0,0,1,0,,,,,,,,,1
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),1,CNG ONLY,19,13,12,14,,,,,,,,,58
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),2,DIESEL,228,223,282,114,,,,,,,,,847
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),3,ELECTRIC(BOV),195,156,200,89,,,,,,,,,640
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),4,LPG ONLY,1,0,2,2,,,,,,,,,5
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),5,NOT APPLICABLE,0,0,1,0,,,,,,,,,1
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),6,PETROL,"1,378","1,675","2,023","1,130",,,,,,,,,"6,206"
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),7,PETROL/CNG,15,14,15,3,,,,,,,,,47
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),8,PETROL/ETHANOL,14,27,24,19,,,,,,,,,84
2024,Bihar,GOPALGANJ - BR28( 08-JUN-2017 ),9,PETROL/HYBRID,9,13,15,3,,,,,,,,,40
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),1,CNG ONLY,34,27,37,5,,,,,,,,,103
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),2,DIESEL,67,67,94,34,,,,,,,,,262
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),3,ELECTRIC(BOV),101,98,114,42,,,,,,,,,355
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),4,NOT APPLICABLE,14,20,18,10,,,,,,,,,62
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),5,PETROL,995,"1,163","1,887",805,,,,,,,,,"4,850"
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),6,PETROL/CNG,1,0,2,0,,,,,,,,,3
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),7,PETROL/ETHANOL,23,24,28,18,,,,,,,,,93
2024,Bihar,JAMUI - BR46( 07-JUN-2017 ),8,PETROL/HYBRID,3,0,4,0,,,,,,,,,7
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),1,CNG ONLY,41,59,55,25,,,,,,,,,180
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),2,DIESEL,18,26,28,11,,,,,,,,,83
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),3,ELECTRIC(BOV),32,25,29,5,,,,,,,,,91
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),4,NOT APPLICABLE,33,11,17,0,,,,,,,,,61
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),5,PETROL,394,434,720,318,,,,,,,,,"1,866"
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),6,PETROL/CNG,0,2,0,1,,,,,,,,,3
2024,Bihar,JEHANABAD - BR25( 26-MAY-2017 ),7,PETROL/HYBRID,1,2,0,0,,,,,,,,,3
2024,Bihar,KATIHAR - BR39( 23-JAN-2018 ),1,CNG ONLY,2,1,1,0,,,,,,,,,4
2024,Bihar,KATIHAR - BR39( 23-JAN-2018 ),2,DIESEL,74,95,102,32,,,,,,,,,303
2024,Bihar,KATIHAR - BR39( 23-JAN-2018 ),3,ELECTRIC(BOV),241,206,258,84,,,,,,,,,789
2024,Bihar,KATIHAR - BR39( 23-JAN-2018 ),4,LPG ONLY,5,16,13,3,,,,,,,,,37
