0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),1,THREE WHEELER(T),341,444,170,13,,,,,,,,,968
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),1,LIGHT PASSENGER VEHICLE,"1,493",630,993,317,,,,,,,,,"3,433"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),7,4,4,4,,,,,,,,,19
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),2,LIGHT MOTOR VEHICLE,"3,597","2,832","2,531","1,834",,,,,,,,,"10,794"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),3,THREE WHEELER(T),143,157,153,84,,,,,,,,,537
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),4,TWO WHEELER(NT),"3,962","3,267","3,398","2,412",,,,,,,,,"13,039"
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),2,1,1,0,,,,,,,,,4
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),2,LIGHT MOTOR VEHICLE,928,599,461,420,,,,,,,,,"2,408"
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),3,TWO WHEELER(NT),17,2,8,6,,,,,,,,,33
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),2,3,1,1,,,,,,,,,7
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),2,LIGHT MOTOR VEHICLE,"1,149","1,191","1,003",568,,,,,,,,,"3,911"
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),3,THREE WHEELER(T),161,192,232,131,,,,,,,,,716
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),4,TWO WHEELER(NT),"2,905","2,334","4,760","2,656",,,,,,,,,"12,655"
2023,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),1,THREE WHEELER(T),568,531,529,406,333,326,115,156,194,438,251,382,"4,229"
2023,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),1,LIGHT PASSENGER VEHICLE,262,167,"1,160",428,618,699,740,376,316,494,422,457,"6,139"
2023,Delhi,DWARKA - DL9( 28-JUL-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),2,0,9,1,2,3,7,1,1,2,5,2,35
2023,Delhi,DWARKA - DL9( 28-JUL-2015 ),2,LIGHT MOTOR VEHICLE,"3,237","2,862","3,483","2,342","2,908","3,029","2,553","2,619","2,374","2,707","3,049","2,876","34,039"
2023,Delhi,DWARKA - DL9( 28-JUL-2015 ),3,THREE WHEELER(T),82,53,92,65,82,121,93,121,143,226,139,178,"1,395"
2023,Delhi,DWARKA - DL9( 28-JUL-2015 ),4,TWO WHEELER(NT),"3,599","2,880","3,184","2,702","3,551","2,991","3,218","3,644","3,406","4,395","6,104","2,704","42,378"
2023,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),0,2,3,1,0,2,2,0,3,0,2,0,15
2023,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),2,LIGHT MOTOR VEHICLE,737,617,719,692,780,697,648,720,653,613,722,603,"8,201"
2023,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),3,TWO WHEELER(NT),4,5,9,13,17,4,6,3,17,8,4,4,94
2023,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),4,1,2,4,2,8,6,2,0,1,4,5,39
2023,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),2,LIGHT MOTOR VEHICLE,912,767,999,982,"1,035",878,817,844,852,"1,002","1,109","1,041","11,238"
2023,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),3,THREE WHEELER(T),133,153,142,130,117,116,93,128,120,161,130,206,"1,629"
2023,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),4,TWO WHEELER(NT),"2,839","2,068","2,268","2,301","2,933","2,262","2,565","2,931","2,608","2,937","4,826","1,746","32,284"
2023,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),1,1,1,0,4,4,2,2,1,1,0,0,17
2023,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),2,LIGHT MOTOR VEHICLE,"1,413",856,827,858,"1,196",915,794,768,780,798,"1,074",614,"10,893"
2023,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),3,THREE WHEELER(T),149,185,236,176,268,408,343,378,393,368,377,367,"3,648"
2023,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),4,TWO WHEELER(NT),"5,210","4,196","3,870","3,527","4,018","3,530","3,859","3,685","3,813","4,375","7,363","3,029","50,475"
2023,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),1,FOUR WHEELER (INVALID CARRIAGE),0,0,0,0,1,0,2,0,0,1,1,2,7
2023,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),2,LIGHT MOTOR VEHICLE,976,682,867,901,788,683,"1,011",893,"1,092",774,749,594,"10,010"
2023,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),3,OTHER THAN MENTIONED ABOVE,0,0,0,0,0,0,0,13,6,0,0,0,19
2023,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),4,THREE WHEELER(T),9,14,17,12,18,40,21,18,28,36,35,39,287
2023,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),5,TWO WHEELER(NT),604,470,505,529,524,401,585,681,567,709,"1,092",533,"7,200"
