0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),1,THREE WHEELER (PASSENGER),341,444,170,13,,,,,,,,,968
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),1,LUXURY CAB,0,0,2,0,,,,,,,,,2
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),2,MOTOR CAB,"1,493",630,991,338,,,,,,,,,"3,452"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),1,ADAPTED VEHICLE,7,4,4,4,,,,,,,,,19
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),2,E-RICKSHAW(P),141,154,145,84,,,,,,,,,524
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),3,E-RICKSHAW WITH CART (G),2,3,8,2,,,,,,,,,15
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),4,M-CYCLE/SCOOTER,"3,948","3,251","3,336","2,416",,,,,,,,,"12,951"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),5,M-CYCLE/SCOOTER-WITH SIDE CAR,1,0,1,0,,,,,,,,,2
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),6,MOPED,13,16,21,8,,,,,,,,,58
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),7,MOTOR CAR,"3,597","2,832","2,532","1,947",,,,,,,,,"10,908"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),8,MOTORISED CYCLE (CC > 25CC),0,0,40,40,,,,,,,,,80
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),1,ADAPTED VEHICLE,2,1,1,0,,,,,,,,,4
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),2,M-CYCLE/SCOOTER,17,2,8,9,,,,,,,,,36
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),3,MOTOR CAR,928,599,461,435,,,,,,,,,"2,423"
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),1,ADAPTED VEHICLE,2,3,1,1,,,,,,,,,7
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),2,E-RICKSHAW(P),152,171,204,111,,,,,,,,,638
