0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),1,CNG ONLY,309,366,25,10,,,,,,,,,710
2024,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),2,ELECTRIC(BOV),32,78,145,0,,,,,,,,,255
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),1,DIESEL,26,5,6,2,,,,,,,,,39
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),2,ELECTRIC(BOV),868,102,442,2,,,,,,,,,"1,414"
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),3,PETROL,2,0,2,3,,,,,,,,,7
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),4,PETROL/CNG,596,523,543,221,,,,,,,,,"1,883"
2024,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),5,PETROL/HYBRID,1,0,0,0,,,,,,,,,1
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),1,DIESEL,95,121,93,37,,,,,,,,,346
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),2,DIESEL/HYBRID,0,0,0,1,,,,,,,,,1
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),3,ELECTRIC(BOV),435,419,654,219,,,,,,,,,"1,727"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),4,PETROL,"5,551","4,481","4,246","1,950",,,,,,,,,"16,228"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),5,PETROL/CNG,"1,050",732,651,309,,,,,,,,,"2,742"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),6,PETROL/ETHANOL,100,125,120,60,,,,,,,,,405
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),7,PETROL/HYBRID,478,381,302,148,,,,,,,,,"1,309"
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),8,PURE EV,0,0,2,2,,,,,,,,,4
2024,Delhi,DWARKA - DL9( 28-JUL-2015 ),9,STRONG HYBRID EV,0,0,18,12,,,,,,,,,30
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),1,DIESEL,3,12,4,5,,,,,,,,,24
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),2,ELECTRIC(BOV),5,2,9,0,,,,,,,,,16
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),3,PETROL,504,309,251,145,,,,,,,,,"1,209"
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),4,PETROL/CNG,271,175,111,96,,,,,,,,,653
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),5,PETROL/HYBRID,164,104,94,54,,,,,,,,,416
2024,Delhi,I P ESTATE - DL2( 01-JUN-2015 ),6,STRONG HYBRID EV,0,0,1,0,,,,,,,,,1
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),1,DIESEL,52,102,90,13,,,,,,,,,257
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),2,DIESEL/HYBRID,0,1,0,0,,,,,,,,,1
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),3,ELECTRIC(BOV),351,270,"2,792",431,,,,,,,,,"3,844"
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),4,PETROL,"3,510","3,063","2,858","1,471",,,,,,,,,"10,902"
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),5,PETROL/CNG,283,192,164,70,,,,,,,,,709
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),6,PETROL/ETHANOL,2,2,1,3,,,,,,,,,8
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),7,PETROL/HYBRID,19,90,74,10,,,,,,,,,193
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),8,PURE EV,0,0,1,1,,,,,,,,,2
2024,Delhi,JANAKPURI - DL4( 24-JUL-2015 ),9,STRONG HYBRID EV,0,0,16,4,,,,,,,,,20
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),1,DIESEL,36,29,36,18,,,,,,,,,119
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),2,ELECTRIC(BOV),605,526,761,167,,,,,,,,,"2,059"
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),3,PETROL,"5,207","3,873","3,548","1,708",,,,,,,,,"14,336"
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),4,PETROL/CNG,442,213,181,95,,,,,,,,,931
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),5,PETROL/ETHANOL,155,89,83,48,,,,,,,,,375
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),6,PETROL/HYBRID,76,45,38,16,,,,,,,,,175
2024,Delhi,LONI ROAD - DL5( 09-SEP-2015 ),7,STRONG HYBRID EV,0,0,1,0,,,,,,,,,1
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),1,DIESEL,82,173,195,20,,,,,,,,,470
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),2,DIESEL/HYBRID,0,1,2,0,,,,,,,,,3
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),3,ELECTRIC(BOV),103,87,121,51,,,,,,,,,362
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),4,PETROL,"1,238",970,992,471,,,,,,,,,"3,671"
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),5,PETROL/CNG,151,73,71,37,,,,,,,,,332
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),6,PETROL/ETHANOL,3,4,3,0,,,,,,,,,10
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),7,PETROL/HYBRID,150,281,178,40,,,,,,,,,649
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),8,PURE EV,0,0,1,0,,,,,,,,,1
2024,Delhi,MALL ROAD - DL1( 12-OCT-2015 ),9,STRONG HYBRID EV,0,0,8,10,,,,,,,,,18
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),1,DIESEL,116,77,55,35,,,,,,,,,283
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),2,DIESEL/HYBRID,2,1,0,0,,,,,,,,,3
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),3,ELECTRIC(BOV),345,299,361,72,,,,,,,,,"1,077"
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),4,PETROL,"3,311","2,552","2,351","1,055",,,,,,,,,"9,269"
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),5,PETROL/CNG,327,178,142,71,,,,,,,,,718
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),6,PETROL/ETHANOL,13,4,12,4,,,,,,,,,33
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),7,PETROL/HYBRID,253,114,123,55,,,,,,,,,545
2024,Delhi,MAYUR VIHAR  - DL7( 29-JUN-2015 ),8,STRONG HYBRID EV,0,0,4,1,,,,,,,,,5
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),1,DIESEL,93,110,105,47,,,,,,,,,355
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),2,DIESEL/HYBRID,0,1,1,0,,,,,,,,,2
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),3,ELECTRIC(BOV),"1,943","1,288",51,20,,,,,,,,,"3,302"
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),4,PETROL,"2,717","2,370","2,212",954,,,,,,,,,"8,253"
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),5,PETROL/CNG,250,242,213,76,,,,,,,,,781
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),6,PETROL/ETHANOL,23,16,33,20,,,,,,,,,92
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),7,PETROL/HYBRID,298,281,199,99,,,,,,,,,877
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),8,PURE EV,0,0,0,1,,,,,,,,,1
2024,Delhi,RAJOURI GARDEN - DL10( 12-AUG-2015 ),9,STRONG HYBRID EV,0,0,75,26,,,,,,,,,101
2024,Delhi,RAJPUR ROAD/VIU BURARI - DL51( 08-APR-2016 ),1,CNG ONLY,"2,177","1,821","1,607",749,,,,,,,,,"6,354"
2024,Delhi,RAJPUR ROAD/VIU BURARI - DL51( 08-APR-2016 ),2,DIESEL,146,120,105,54,,,,,,,,,425
2024,Delhi,RAJPUR ROAD/VIU BURARI - DL51( 08-APR-2016 ),3,ELECTRIC(BOV),852,752,"2,768",81,,,,,,,,,"4,453"
2024,Delhi,RAJPUR ROAD/VIU BURARI - DL51( 08-APR-2016 ),4,PETROL,2,1,0,2,,,,,,,,,5
2024,Delhi,RAJPUR ROAD/VIU BURARI - DL51( 08-APR-2016 ),5,PETROL/CNG,0,3,1,0,,,,,,,,,4
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),1,DIESEL,31,20,27,13,,,,,,,,,91
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),2,ELECTRIC(BOV),539,402,534,158,,,,,,,,,"1,633"
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),3,PETROL,"4,094","3,028","2,899","1,579",,,,,,,,,"11,600"
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),4,PETROL/CNG,292,223,193,66,,,,,,,,,774
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),5,PETROL/ETHANOL,120,99,84,44,,,,,,,,,347
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),6,PETROL/HYBRID,98,56,35,17,,,,,,,,,206
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),7,PURE EV,0,0,3,4,,,,,,,,,7
2024,Delhi,ROHINI - DL11( 14-AUG-2015 ),8,STRONG HYBRID EV,0,1,0,4,,,,,,,,,5
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),1,DIESEL,27,22,23,5,,,,,,,,,77
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),2,ELECTRIC(BOV),199,202,249,45,,,,,,,,,695
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),3,PETROL,"1,746","1,571","1,330",742,,,,,,,,,"5,389"
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),4,PETROL/CNG,22,11,10,8,,,,,,,,,51
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),5,PETROL/ETHANOL,29,47,23,15,,,,,,,,,114
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),6,PETROL/HYBRID,18,16,7,5,,,,,,,,,46
2024,Delhi,SARAI KALE KHAN - DL6( 10-SEP-2015 ),7,PURE EV,0,0,1,0,,,,,,,,,1
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),1,CNG ONLY,0,0,0,1,,,,,,,,,1
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),2,DIESEL,152,96,69,34,,,,,,,,,351
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),3,DIESEL/HYBRID,3,0,1,1,,,,,,,,,5
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),4,ELECTRIC(BOV),342,323,498,90,,,,,,,,,"1,253"
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),5,PETROL,"8,272","6,454","6,083","3,265",,,,,,,,,"24,074"
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),6,PETROL/CNG,444,316,272,124,,,,,,,,,"1,156"
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),7,PETROL/ETHANOL,184,164,160,79,,,,,,,,,587
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),8,PETROL/HYBRID,381,373,280,92,,,,,,,,,"1,126"
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),9,PURE EV,0,0,3,0,,,,,,,,,3
2024,Delhi,SOUTH DELHI - DL3( 15-SEP-2015 ),10,STRONG HYBRID EV,0,0,35,13,,,,,,,,,48
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),1,DIESEL,69,41,38,13,,,,,,,,,161
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),2,ELECTRIC(BOV),231,221,302,81,,,,,,,,,835
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),3,PETROL,"4,656","3,351","3,092","1,874",,,,,,,,,"12,973"
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),4,PETROL/CNG,307,217,213,97,,,,,,,,,834
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),5,PETROL/ETHANOL,147,110,111,64,,,,,,,,,432
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),6,PETROL/HYBRID,239,162,118,61,,,,,,,,,580
2024,Delhi,SURAJMAL VIHAR - DL13( 26-JUN-2015 ),7,STRONG HYBRID EV,0,0,31,9,,,,,,,,,40
2024,Delhi,VASANT VIHAR - DL12( 01-JUN-2015 ),1,DIESEL,71,77,96,27,,,,,,,,,271
2024,Delhi,VASANT VIHAR - DL12( 01-JUN-2015 ),2,ELECTRIC(BOV),103,90,121,23,,,,,,,,,337
2024,Delhi,VASANT VIHAR - DL12( 01-JUN-2015 ),3,PETROL,"1,822","1,658","1,596",728,,,,,,,,,"5,804"
2024,Delhi,VASANT VIHAR - DL12( 01-JUN-2015 ),4,PETROL/CNG,302,187,177,74,,,,,,,,,740
2024,Delhi,VASANT VIHAR - DL12( 01-JUN-2015 ),5,PETROL/HYBRID,171,134,99,55,,,,,,,,,459
2024,Delhi,VASANT VIHAR - DL12( 01-JUN-2015 ),6,STRONG HYBRID EV,0,0,27,10,,,,,,,,,37
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),1,DIESEL,138,136,169,90,,,,,,,,,533
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),2,DIESEL/HYBRID,2,0,1,0,,,,,,,,,3
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),3,ELECTRIC(BOV),642,580,"1,028",775,,,,,,,,,"3,025"
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),4,PETROL,"4,425","3,557","3,388","1,716",,,,,,,,,"13,086"
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),5,PETROL/CNG,448,263,254,90,,,,,,,,,"1,055"
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),6,PETROL/ETHANOL,305,179,195,120,,,,,,,,,799
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),7,PETROL/HYBRID,276,219,228,86,,,,,,,,,809
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),8,PURE EV,0,0,1,6,,,,,,,,,7
2024,Delhi,WAZIRPUR - DL8( 17-SEP-2015 ),9,STRONG HYBRID EV,0,0,35,27,,,,,,,,,62
2023,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),1,CNG ONLY,537,496,484,399,306,275,108,156,179,410,216,374,"3,940"
2023,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),2,ELECTRIC(BOV),30,33,45,7,27,51,7,0,15,28,35,8,286
2023,Delhi,BURARI AUTO UNIT - DL53( 08-APR-2016 ),3,PETROL/CNG,1,2,0,0,0,0,0,0,0,0,0,0,3
2023,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),1,DIESEL,1,10,2,8,4,1,0,10,7,1,16,16,76
2023,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),2,ELECTRIC(BOV),34,56,853,83,304,416,434,33,26,127,3,84,"2,453"
2023,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),3,PETROL,0,0,1,0,0,0,0,0,0,1,0,0,2
2023,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),4,PETROL/CNG,227,101,304,337,310,282,306,333,273,365,403,357,"3,598"
2023,Delhi,BURARI TAXI UNIT - DL52( 08-APR-2016 ),5,PETROL/HYBRID,0,0,0,0,0,0,0,0,10,1,0,0,11
2023,Delhi,DWARKA - DL9( 28-JUL-2015 ),1,DIESEL,114,133,112,77,94,127,81,69,54,124,102,80,"1,167"
2023,Delhi,DWARKA - DL9( 28-JUL-2015 ),2,ELECTRIC(BOV),479,415,612,369,910,410,349,358,341,720,629,561,"6,153"
