0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),1,HEAVY GOODS VEHICLE,97,93,133,52,,,,,,,,,375
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),2,HEAVY MOTOR VEHICLE,5,1,1,0,,,,,,,,,7
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),3,HEAVY PASSENGER VEHICLE,0,0,11,10,,,,,,,,,21
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),4,LIGHT GOODS VEHICLE,64,61,78,38,,,,,,,,,241
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),5,LIGHT MOTOR VEHICLE,149,162,205,82,,,,,,,,,598
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),6,LIGHT PASSENGER VEHICLE,27,21,27,15,,,,,,,,,90
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),7,MEDIUM GOODS VEHICLE,3,4,3,3,,,,,,,,,13
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),8,MEDIUM MOTOR VEHICLE,4,6,3,2,,,,,,,,,15
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),9,MEDIUM PASSENGER VEHICLE,7,31,8,4,,,,,,,,,50
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),10,OTHER THAN MENTIONED ABOVE,35,32,31,37,,,,,,,,,135
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),11,THREE WHEELER(T),63,50,83,31,,,,,,,,,227
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),12,TWO WHEELER(NT),"1,159","1,346","1,777",832,,,,,,,,,"5,114"
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),1,HEAVY GOODS VEHICLE,150,152,197,151,,,,,,,,,650
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),2,HEAVY MOTOR VEHICLE,0,0,1,0,,,,,,,,,1
