0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),1,AGRICULTURAL TRACTOR,23,19,38,5,,,,,,,,,85
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),2,AMBULANCE,0,0,0,1,,,,,,,,,1
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),3,ARTICULATED VEHICLE,2,12,50,16,,,,,,,,,80
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),4,BUS,1,27,4,0,,,,,,,,,32
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),5,CONSTRUCTION EQUIPMENT VEHICLE,33,31,33,37,,,,,,,,,134
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),6,CRANE MOUNTED VEHICLE,9,7,2,2,,,,,,,,,20
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),7,DUMPER,0,0,1,0,,,,,,,,,1
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),8,EDUCATIONAL INSTITUTION BUS,0,0,3,3,,,,,,,,,6
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),9,EXCAVATOR (NT),0,0,0,1,,,,,,,,,1
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),10,FIRE TENDERS,0,0,1,0,,,,,,,,,1
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),11,FORK LIFT,2,0,0,1,,,,,,,,,3
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),12,GOODS CARRIER,155,139,157,81,,,,,,,,,532
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),13,MAXI CAB,4,4,0,3,,,,,,,,,11
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),14,M-CYCLE/SCOOTER,"1,129","1,310","1,735",874,,,,,,,,,"5,048"
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),15,MOPED,23,29,37,9,,,,,,,,,98
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),16,MOTOR CAB,22,11,22,9,,,,,,,,,64
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),17,MOTOR CAR,126,144,167,78,,,,,,,,,515
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),18,MOTORISED CYCLE (CC > 25CC),7,7,5,4,,,,,,,,,23
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),19,OMNI BUS,7,9,17,12,,,,,,,,,45
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),20,OMNI BUS (PRIVATE USE),0,0,0,1,,,,,,,,,1
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),21,PRIVATE SERVICE VEHICLE,0,1,0,1,,,,,,,,,2
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),22,THREE WHEELER (GOODS),20,22,31,14,,,,,,,,,87
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),23,THREE WHEELER (PASSENGER),43,28,52,23,,,,,,,,,146
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),24,TRACTOR (COMMERCIAL),1,3,0,0,,,,,,,,,4
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),25,TRAILER (COMMERCIAL),6,4,5,9,,,,,,,,,24
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),1,AMBULANCE,0,0,1,0,,,,,,,,,1
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),2,ARTICULATED VEHICLE,4,21,56,24,,,,,,,,,105
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),3,BUS,2,0,2,1,,,,,,,,,5
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),4,CONSTRUCTION EQUIPMENT VEHICLE,14,7,9,12,,,,,,,,,42
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),5,CRANE MOUNTED VEHICLE,2,0,1,0,,,,,,,,,3
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),6,EARTH MOVING EQUIPMENT,2,0,0,0,,,,,,,,,2
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),7,GOODS CARRIER,153,145,151,153,,,,,,,,,602
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),8,M-CYCLE/SCOOTER,168,125,187,106,,,,,,,,,586
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),9,MOPED,1,3,3,1,,,,,,,,,8
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),10,MOTOR CAB,9,27,7,11,,,,,,,,,54
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),11,MOTOR CAR,28,15,14,11,,,,,,,,,68
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),12,MOTORISED CYCLE (CC > 25CC),17,36,22,35,,,,,,,,,110
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),13,OMNI BUS,0,3,1,0,,,,,,,,,4
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),14,PRIVATE SERVICE VEHICLE,1,0,0,0,,,,,,,,,1
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),15,THREE WHEELER (GOODS),0,2,0,0,,,,,,,,,2
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),16,TRAILER (COMMERCIAL),4,0,0,0,,,,,,,,,4
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),1,AGRICULTURAL TRACTOR,83,88,100,21,,,,,,,,,292
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),2,AMBULANCE,1,0,0,0,,,,,,,,,1
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),3,ARTICULATED VEHICLE,1,9,0,0,,,,,,,,,10
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),4,BUS,0,29,23,0,,,,,,,,,52
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),5,CONSTRUCTION EQUIPMENT VEHICLE,10,9,2,10,,,,,,,,,31
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),6,CRANE MOUNTED VEHICLE,0,0,1,0,,,,,,,,,1
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),7,DUMPER,0,0,2,0,,,,,,,,,2
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),8,EDUCATIONAL INSTITUTION BUS,0,1,0,1,,,,,,,,,2
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),9,E-RICKSHAW(P),38,45,40,34,,,,,,,,,157
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),10,E-RICKSHAW WITH CART (G),13,11,10,7,,,,,,,,,41
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),11,GOODS CARRIER,96,96,95,53,,,,,,,,,340
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),12,MAXI CAB,2,3,4,2,,,,,,,,,11
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),13,M-CYCLE/SCOOTER,"3,182","3,018","3,923","2,418",,,,,,,,,"12,541"
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),14,MOPED,61,74,75,55,,,,,,,,,265
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),15,MOTOR CAB,37,20,19,13,,,,,,,,,89
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),16,MOTOR CAR,244,216,280,135,,,,,,,,,875
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),17,MOTORISED CYCLE (CC > 25CC),2,0,0,0,,,,,,,,,2
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),18,OMNI BUS,3,2,1,0,,,,,,,,,6
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),19,OMNI BUS (PRIVATE USE),0,0,1,0,,,,,,,,,1
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),20,THREE WHEELER (GOODS),28,19,36,11,,,,,,,,,94
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),21,THREE WHEELER (PASSENGER),37,34,44,32,,,,,,,,,147
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),22,TRACTOR (COMMERCIAL),2,3,1,0,,,,,,,,,6
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),23,TRAILER (COMMERCIAL),3,4,6,5,,,,,,,,,18
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),1,AGRICULTURAL TRACTOR,118,115,144,42,,,,,,,,,419
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),2,ARTICULATED VEHICLE,5,1,1,2,,,,,,,,,9
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),3,BUS,2,38,19,10,,,,,,,,,69
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),4,CONSTRUCTION EQUIPMENT VEHICLE,5,10,7,8,,,,,,,,,30
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),5,CRANE MOUNTED VEHICLE,0,1,0,1,,,,,,,,,2
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),6,EDUCATIONAL INSTITUTION BUS,0,0,6,6,,,,,,,,,12
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),7,E-RICKSHAW WITH CART (G),5,0,0,0,,,,,,,,,5
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),8,GOODS CARRIER,56,61,48,26,,,,,,,,,191
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),9,HARVESTER,0,1,1,0,,,,,,,,,2
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),10,MAXI CAB,0,0,2,0,,,,,,,,,2
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),11,M-CYCLE/SCOOTER,"1,284","1,777","2,201","1,095",,,,,,,,,"6,357"
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),12,MOPED,76,90,108,61,,,,,,,,,335
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),13,MOTOR CAB,3,9,4,2,,,,,,,,,18
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),14,MOTOR CAR,137,165,136,109,,,,,,,,,547
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),15,OMNI BUS,1,4,1,3,,,,,,,,,9
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),16,OMNI BUS (PRIVATE USE),0,0,0,1,,,,,,,,,1
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),17,THREE WHEELER (GOODS),3,5,9,2,,,,,,,,,19
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),18,THREE WHEELER (PASSENGER),5,12,11,3,,,,,,,,,31
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),19,TRACTOR (COMMERCIAL),1,0,1,1,,,,,,,,,3
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),20,TRAILER (COMMERCIAL),2,4,2,0,,,,,,,,,8
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),1,AGRICULTURAL TRACTOR,58,61,69,33,,,,,,,,,221
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),2,AMBULANCE,1,0,0,0,,,,,,,,,1
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),3,ARTICULATED VEHICLE,4,0,0,0,,,,,,,,,4
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),4,BUS,4,10,19,1,,,,,,,,,34
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),5,CONSTRUCTION EQUIPMENT VEHICLE,8,6,6,3,,,,,,,,,23
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),6,CRANE MOUNTED VEHICLE,0,1,1,0,,,,,,,,,2
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),7,DUMPER,0,0,4,0,,,,,,,,,4
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),8,E-RICKSHAW(P),3,3,3,6,,,,,,,,,15
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),9,E-RICKSHAW WITH CART (G),2,2,3,2,,,,,,,,,9
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),10,FORK LIFT,0,2,0,0,,,,,,,,,2
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),11,GOODS CARRIER,105,109,116,46,,,,,,,,,376
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),12,MAXI CAB,1,2,1,0,,,,,,,,,4
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),13,M-CYCLE/SCOOTER,"1,661","1,611","2,095","1,660",,,,,,,,,"7,027"
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),14,MOPED,10,14,19,10,,,,,,,,,53
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),15,MOTOR CAB,3,3,6,2,,,,,,,,,14
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),16,MOTOR CAR,70,52,68,31,,,,,,,,,221
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),17,MOTORISED CYCLE (CC > 25CC),34,40,67,15,,,,,,,,,156
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),18,OMNI BUS,0,2,0,3,,,,,,,,,5
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),19,THREE WHEELER (GOODS),25,39,36,24,,,,,,,,,124
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),20,THREE WHEELER (PASSENGER),53,46,58,33,,,,,,,,,190
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),21,TRACTOR (COMMERCIAL),6,2,1,0,,,,,,,,,9
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),22,TRAILER (COMMERCIAL),11,11,8,7,,,,,,,,,37
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),1,AGRICULTURAL TRACTOR,20,8,16,15,,,,,,,,,59
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),2,BUS,1,1,10,6,,,,,,,,,18
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),3,CONSTRUCTION EQUIPMENT VEHICLE,2,1,1,1,,,,,,,,,5
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),4,EDUCATIONAL INSTITUTION BUS,0,1,0,0,,,,,,,,,1
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),5,E-RICKSHAW(P),2,2,2,1,,,,,,,,,7
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),6,E-RICKSHAW WITH CART (G),1,1,1,0,,,,,,,,,3
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),7,GOODS CARRIER,40,31,40,21,,,,,,,,,132
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),8,MAXI CAB,0,1,0,0,,,,,,,,,1
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),9,M-CYCLE/SCOOTER,657,922,"1,557",894,,,,,,,,,"4,030"
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),10,MOPED,58,66,87,61,,,,,,,,,272
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),11,MOTOR CAB,4,1,4,0,,,,,,,,,9
