Year,State,RTO Name,3,Fuel,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,Total
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),1,CNG ONLY,0,1,2,1,,,,,,,,,4
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),2,DIESEL,316,303,388,152,,,,,,,,,"1,159"
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),3,ELECTRIC(BOV),82,83,126,25,,,,,,,,,316
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),4,NOT APPLICABLE,6,4,5,1,,,,,,,,,16
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),5,PETROL,"1,112","1,312","1,701",599,,,,,,,,,"4,724"
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),6,PETROL/CNG,1,4,0,0,,,,,,,,,5
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),7,PETROL/ETHANOL,82,83,98,45,,,,,,,,,308
2024,Odisha,ANGUL RTO - OR19( 25-DEC-2017 ),8,PETROL/HYBRID,14,17,40,13,,,,,,,,,84
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),1,DIESEL,201,213,232,142,,,,,,,,,788
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),2,ELECTRIC(BOV),0,0,2,1,,,,,,,,,3
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),3,NOT APPLICABLE,4,0,0,0,,,,,,,,,4
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),4,PETROL,193,166,214,61,,,,,,,,,634
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),5,PETROL/ETHANOL,5,4,5,0,,,,,,,,,14
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),6,PETROL/HYBRID,2,1,0,0,,,,,,,,,3
2024,Odisha,ARTO BARBIL - OR901( 04-DEC-2017 ),7,STRONG HYBRID EV,0,0,1,0,,,,,,,,,1
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),1,CNG ONLY,10,10,11,13,,,,,,,,,44
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),2,DIESEL,289,283,286,78,,,,,,,,,936
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),3,DIESEL/HYBRID,0,0,1,0,,,,,,,,,1
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),4,ELECTRIC(BOV),283,300,454,112,,,,,,,,,"1,149"
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),5,NOT APPLICABLE,3,4,6,4,,,,,,,,,17
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),6,PETROL,"3,037","2,899","3,630","1,489",,,,,,,,,"11,055"
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),7,PETROL/CNG,17,15,14,7,,,,,,,,,53
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),8,PETROL/ETHANOL,170,155,220,69,,,,,,,,,614
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),9,PETROL/HYBRID,34,15,39,10,,,,,,,,,98
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),10,PURE EV,0,0,1,0,,,,,,,,,1
2024,Odisha,BALASORE RTO - OR1( 07-NOV-2017 ),11,STRONG HYBRID EV,0,0,1,1,,,,,,,,,2
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),1,DIESEL,201,257,252,73,,,,,,,,,783
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),2,ELECTRIC(BOV),74,61,146,28,,,,,,,,,309
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),3,NOT APPLICABLE,2,4,2,0,,,,,,,,,8
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),4,PETROL,"1,369","1,908","2,234",745,,,,,,,,,"6,256"
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),5,PETROL/CNG,0,1,0,0,,,,,,,,,1
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),6,PETROL/ETHANOL,44,38,50,10,,,,,,,,,142
2024,Odisha,BARGARH RTO - OR17( 04-DEC-2017 ),7,PETROL/HYBRID,13,24,17,18,,,,,,,,,72
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),1,CNG ONLY,39,32,33,15,,,,,,,,,119
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),2,DIESEL,233,250,283,92,,,,,,,,,858
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),3,ELECTRIC(BOV),104,110,179,34,,,,,,,,,427
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),4,NOT APPLICABLE,11,11,8,6,,,,,,,,,36
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),5,PETROL,"1,587","1,530","1,940",973,,,,,,,,,"6,030"
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),6,PETROL/CNG,4,2,5,0,,,,,,,,,11
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),7,PETROL/ETHANOL,75,75,125,58,,,,,,,,,333
2024,Odisha,BHADRAK RTO - OR22( 04-DEC-2017 ),8,PETROL/HYBRID,6,5,7,1,,,,,,,,,19
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),1,CNG ONLY,3,0,4,0,,,,,,,,,7
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),2,DIESEL,68,56,71,37,,,,,,,,,232
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),3,ELECTRIC(BOV),15,18,32,5,,,,,,,,,70
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),4,NOT APPLICABLE,5,1,3,1,,,,,,,,,10
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),5,PETROL,704,976,"1,569",613,,,,,,,,,"3,862"
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),6,PETROL/CNG,0,0,2,0,,,,,,,,,2
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),7,PETROL/ETHANOL,33,22,71,23,,,,,,,,,149
2024,Odisha,BHANJANAGAR RTO - OR32( 04-DEC-2017 ),8,PETROL/HYBRID,3,1,3,2,,,,,,,,,9
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),1,CNG ONLY,7,10,18,9,,,,,,,,,44
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),2,DIESEL,329,333,356,186,,,,,,,,,"1,204"
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),3,DIESEL/HYBRID,1,1,0,1,,,,,,,,,3
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),4,ELECTRIC(BOV),486,538,"1,265",236,,,,,,,,,"2,525"
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),5,NOT APPLICABLE,2,1,5,0,,,,,,,,,8
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),6,PETROL,"2,490","2,380","2,685","1,273",,,,,,,,,"8,828"
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),7,PETROL/CNG,29,28,38,18,,,,,,,,,113
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),8,PETROL/ETHANOL,110,75,110,48,,,,,,,,,343
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),9,PETROL/HYBRID,80,96,116,46,,,,,,,,,338
2024,Odisha,BHUBANESWAR-II RTO - OR33( 23-OCT-2017 ),10,STRONG HYBRID EV,0,0,3,3,,,,,,,,,6
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),1,CNG ONLY,60,66,74,28,,,,,,,,,228
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),2,DIESEL,986,890,976,432,,,,,,,,,"3,284"
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),3,DIESEL/HYBRID,5,5,4,1,,,,,,,,,15
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),4,ELECTRIC(BOV),627,634,917,168,,,,,,,,,"2,346"
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),5,NOT APPLICABLE,5,1,0,1,,,,,,,,,7
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),6,PETROL,"5,560","5,087","5,642","2,455",,,,,,,,,"18,744"
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),7,PETROL/CNG,90,69,101,42,,,,,,,,,302
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),8,PETROL/ETHANOL,250,249,295,119,,,,,,,,,913
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),9,PETROL/HYBRID,288,263,273,135,,,,,,,,,959
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),10,PURE EV,0,0,0,6,,,,,,,,,6
2024,Odisha,BHUBANESWAR RTO - OR2( 22-JAN-2018 ),11,STRONG HYBRID EV,0,0,2,6,,,,,,,,,8
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),1,DIESEL,184,206,198,81,,,,,,,,,669
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),2,ELECTRIC(BOV),140,104,180,31,,,,,,,,,455
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),3,NOT APPLICABLE,4,1,2,3,,,,,,,,,10
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),4,PETROL,"2,102","3,152","3,221","1,025",,,,,,,,,"9,500"
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),5,PETROL/CNG,1,3,0,0,,,,,,,,,4
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),6,PETROL/ETHANOL,111,107,111,37,,,,,,,,,366
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),7,PETROL/HYBRID,31,31,37,9,,,,,,,,,108
2024,Odisha,BOLANGIR RTO - OR3( 25-DEC-2017 ),8,STRONG HYBRID EV,0,0,0,1,,,,,,,,,1
2024,Odisha,BOUDH RTO - OR27( 23-OCT-2017 ),1,DIESEL,50,40,59,13,,,,,,,,,162
2024,Odisha,BOUDH RTO - OR27( 23-OCT-2017 ),2,ELECTRIC(BOV),11,4,10,3,,,,,,,,,28
2024,Odisha,BOUDH RTO - OR27( 23-OCT-2017 ),3,NOT APPLICABLE,0,1,0,0,,,,,,,,,1
2024,Odisha,BOUDH RTO - OR27( 23-OCT-2017 ),4,PETROL,297,542,628,173,,,,,,,,,"1,640"
2024,Odisha,BOUDH RTO - OR27( 23-OCT-2017 ),5,PETROL/ETHANOL,4,11,8,3,,,,,,,,,26
2024,Odisha,BOUDH RTO - OR27( 23-OCT-2017 ),6,PETROL/HYBRID,1,2,0,1,,,,,,,,,4
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),1,CNG ONLY,0,0,4,0,,,,,,,,,4
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),2,DIESEL,201,197,229,152,,,,,,,,,779
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),3,DIESEL/HYBRID,0,1,0,0,,,,,,,,,1
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),4,ELECTRIC(BOV),50,48,62,19,,,,,,,,,179
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),5,NOT APPLICABLE,2,9,2,3,,,,,,,,,16
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),6,PETROL,"1,178","1,129","1,371",520,,,,,,,,,"4,198"
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),7,PETROL/CNG,1,0,5,0,,,,,,,,,6
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),8,PETROL/ETHANOL,29,37,47,14,,,,,,,,,127
2024,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),9,PETROL/HYBRID,4,8,2,2,,,,,,,,,16
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),1,CNG ONLY,21,23,22,5,,,,,,,,,71
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),2,DIESEL,595,760,581,273,,,,,,,,,"2,209"
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),3,DIESEL/HYBRID,1,0,1,1,,,,,,,,,3
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),4,ELECTRIC(BOV),628,557,"1,113",171,,,,,,,,,"2,469"
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),5,NOT APPLICABLE,9,13,7,0,,,,,,,,,29
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),6,PETROL,"4,098","4,342","4,913","1,932",,,,,,,,,"15,285"
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),7,PETROL/CNG,26,18,23,5,,,,,,,,,72
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),8,PETROL/ETHANOL,207,203,221,108,,,,,,,,,739
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),9,PETROL/HYBRID,84,85,82,30,,,,,,,,,281
2024,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),10,STRONG HYBRID EV,0,0,0,1,,,,,,,,,1
2024,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),1,DIESEL,51,70,36,5,,,,,,,,,162
2024,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),2,ELECTRIC(BOV),6,5,17,7,,,,,,,,,35
2024,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),3,PETROL,195,234,258,67,,,,,,,,,754
2024,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),4,PETROL/CNG,1,0,0,0,,,,,,,,,1
2024,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),5,PETROL/ETHANOL,3,2,3,2,,,,,,,,,10
2024,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),6,PETROL/HYBRID,1,1,2,0,,,,,,,,,4
2024,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),1,DIESEL,62,87,88,27,,,,,,,,,264
2024,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),2,ELECTRIC(BOV),47,28,56,16,,,,,,,,,147
2024,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),3,NOT APPLICABLE,2,6,0,1,,,,,,,,,9
2024,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),4,PETROL,810,861,"1,109",428,,,,,,,,,"3,208"
2024,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),5,PETROL/ETHANOL,4,8,13,2,,,,,,,,,27
2024,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),6,PETROL/HYBRID,3,2,2,0,,,,,,,,,7
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),1,DIESEL,30,20,45,7,,,,,,,,,102
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),2,ELECTRIC(BOV),2,11,9,1,,,,,,,,,23
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),3,NOT APPLICABLE,5,8,5,2,,,,,,,,,20
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),4,PETROL,377,390,443,196,,,,,,,,,"1,406"
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),5,PETROL/CNG,0,0,1,0,,,,,,,,,1
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),6,PETROL/ETHANOL,14,24,29,8,,,,,,,,,75
2024,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),7,PETROL/HYBRID,1,3,0,1,,,,,,,,,5
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),1,CNG ONLY,0,0,1,0,,,,,,,,,1
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),2,DIESEL,251,325,322,126,,,,,,,,,"1,024"
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),3,ELECTRIC(BOV),248,261,538,45,,,,,,,,,"1,092"
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),4,NOT APPLICABLE,1,2,8,4,,,,,,,,,15
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),5,PETROL,"3,000","2,951","4,014","1,488",,,,,,,,,"11,453"
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),6,PETROL/CNG,4,0,6,1,,,,,,,,,11
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),7,PETROL/ETHANOL,119,58,318,91,,,,,,,,,586
2024,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),8,PETROL/HYBRID,17,13,17,7,,,,,,,,,54
